,Warm_Full,Cold_Full,Warm_Common,Cold_Common
0,2.4567287006387306,3.9635724524878047,16.593165005800927,15.258662044577184
1,2.271772326589932,4.333484655177056,15.55229929292187,14.926238321010803
2,2.027224420444146,4.071244949118183,14.93198064418276,15.12802298483045
3,1.9306271677427365,4.286609608100184,15.666795734116635,15.128467703459695
4,2.161343643432622,4.178614995420704,15.040449931070517,15.212677110275882
5,2.3501330857252465,4.01060633359239,15.100594722622033,15.07036342490763
6,2.147558151162059,4.555745922847873,15.274360305035342,14.625709788658526
7,2.069630475189149,4.503543741174833,14.984822303563398,16.39044173124806
8,2.0548456928639056,4.4575649515519284,14.986636194604303,15.437917921591476
9,2.1997371547388553,4.775996157505904,14.892552986877835,15.871586022862259
10,2.1302134374984316,4.043623699183649,15.571176275941678,15.489516549455033
11,2.0296228788581687,4.635151823169193,15.21257637424398,14.684037991578085
12,1.992947053613015,4.4602646380810285,14.49496816059167,15.293243332179527
13,1.9587424130956932,4.735803698125878,15.225192706424037,15.09709202819045
14,1.9524307268363905,4.66231826025014,15.138760779925262,15.391644739518744
15,2.0613651033546296,4.046720019941084,15.774680119884374,14.99371475843689
16,1.9619872511816565,4.785162331960876,14.55060036883999,16.218771494374597
17,2.2289874536624574,4.432176851419485,15.508090198970251,15.511920031956162
18,2.065812106195359,3.935547678661159,15.164485709906057,15.199619909578258
19,2.094833798465275,4.20766286351962,15.029941363492236,15.384394473462148
20,1.867468236529188,4.4855383508278175,16.37079374214837,15.183300786947058
21,1.8832548504170057,4.523546623822557,15.409848058531015,15.371362232742818
22,2.4501231875334084,4.953482365661415,16.07637153613153,15.240516432436044
23,1.9369579147343983,4.27580303895235,15.224388371012191,14.864491315457599
24,2.227317162055922,4.137650772534669,15.151203940468609,15.422319092645592
25,1.9413287762645715,4.203862903663827,15.301921524146515,15.469364392720324
26,2.390206885873492,4.09358536054426,15.212797159601704,16.250554169701704
27,2.269233642287988,3.973541669440358,15.378255485363576,15.535927543170825
28,2.0727347005194825,4.449826771817907,15.328232405481431,15.148432075929389
29,2.1074381163552,4.035870804977535,14.775178552728008,16.04964843759264
30,1.8810987951551055,4.493791084538624,16.159142291874847,15.372395853713684
31,2.1162348940968188,4.655418982726834,15.237752249312411,15.326071722115989
32,2.3919472940631774,4.586520900670779,15.810018594188351,15.257774480377309
33,2.184469613301324,4.034065314648277,15.054939423081976,15.173981676009216
34,1.9925471158066688,4.471006165286177,14.109415104069475,15.733442234170312
35,2.3404367874030063,3.9644710992135623,15.564450191418064,15.758422047332473
36,1.9441802584866659,4.765397292654099,14.964747633170077,15.584392289754042
37,2.1277459899659013,4.587188477279602,14.514576880422126,15.295361352993739
38,2.178355369019651,4.021001425488755,15.73448466874097,14.84266529706205
39,1.9676583964710874,3.9824248104419104,15.113224863611574,14.583892642450758
40,2.2364165725575544,4.364501153823303,15.211691237152325,14.954599730900226
41,1.9899848768641888,4.667405987670319,14.794494249394788,14.714043507850391
42,2.0306942409591113,3.9529879907055823,14.731605926260707,15.139067294186681
43,2.071214246995878,3.8470540605188384,14.60349270068893,15.03019111345409
44,2.0512794256665545,4.05532677014435,15.165831583833874,14.185936867405912
45,2.246908271143912,4.246347395202641,14.876862516351485,14.67370980474874
46,2.2959927606859822,4.158381301653185,15.888908761617326,15.09788689139472
47,1.9919752141518028,4.63038859480573,15.956270330534883,14.63047903434706
48,2.163930313828673,4.375088911017239,15.81872615250293,15.089283631694517
49,2.189327894347811,3.986730866661501,14.812896605652426,16.34742336806284
50,2.009852651631369,4.478086983070165,15.048153579312329,15.72096508180379
51,2.1726008715560003,4.17060568292388,16.121891967938417,14.67265083641034
52,2.0081757429586977,4.0245449012741155,14.819229140357013,15.614254492171167
53,2.2115896856140704,4.353055825548324,14.28771295148418,16.333628647362143
54,2.2161536115035814,4.5183339589942735,15.251742757443527,15.170756804415102
55,1.7920250253703498,4.072259005823266,14.694543736730786,15.025511393711541
56,2.175070453953351,4.374896781238293,15.58968493190989,14.81259577415271
57,2.309387554198323,4.188057359263695,14.51724006286376,15.12508617693891
58,1.9560091475298949,5.192850132221735,15.02180888589067,15.841740517083055
59,2.106526374263382,4.3850225532025044,16.352153994372067,14.619182970927492
60,2.2785978189282527,4.315485696914098,14.699195341774471,16.36880250956258
61,1.9362669739389038,4.65076227158549,15.184421969976553,15.759485652166635
62,1.9951624395206091,4.301460178000537,15.639348429678208,16.33808336598199
63,2.0771957490439514,4.750758193222143,15.826778414183215,16.40723461931545
64,2.187137346385617,4.053653678549407,14.96518377423055,15.207897643614377
65,2.0576826633838166,4.505848108142551,15.182451808176332,15.62208418435061
66,2.079255583580573,4.329253814156122,14.826409262967303,14.92808940836625
67,1.900475147560558,4.323644817670512,14.923799916785235,16.244294015975065
68,1.9596321612981833,4.48549732634612,16.390391913775815,14.860212369834683
69,1.8434842999803347,4.285636202462844,16.076217655254222,15.323806991841519
70,2.096017303836911,4.396772720010416,16.200830899092953,14.66044471059221
71,2.2739607222089506,3.8325128939104487,15.121598277383953,15.094935219896454
72,2.1801390967845338,4.804459860523388,15.535892667356366,15.425822685989838
73,2.154561594776269,4.277521437803392,15.184460872025685,14.59382874398845
74,2.118017961508793,4.119758248631753,15.115482281216575,14.74274914857308
75,2.210318405710264,4.177207968774324,15.5107060750876,15.110096341032214
76,2.1264168927033955,4.001222332038769,15.135606001860118,15.496748947281578
77,2.1451368043763757,3.961542622130242,16.319081892793253,15.316177395110195
78,2.3895021413024327,4.479337569291318,14.686294496132055,14.822167607860479
79,2.005935143330622,4.5909140327017965,15.330130861748453,14.886232871389826
80,2.07518107016794,4.277792970984691,16.148853833340475,15.095217668559982
81,2.0868479280608176,4.152783745973895,15.43534319788898,15.632906302639373
82,2.102231456913486,4.31399524191409,14.76087457482931,16.5156327705945
83,1.9206297905132939,4.534863962908019,15.456846141587341,15.325546921286506
84,2.2321536622826907,4.551026175255043,16.527816723720296,15.699036703227346
85,2.3614748498628426,4.328532647223802,14.889310693964164,16.401033686383272
86,2.039692264252439,4.300093457913771,16.279859877119293,15.94635472262852
87,2.0486091657768215,3.8303196830162416,14.326803118288614,15.745308341411082
88,2.4497442817660233,4.346040535637335,15.568624573359294,16.028548775466895
89,1.9980921441361548,4.158144474253786,15.16739100916887,15.24743075428418
90,2.275558606619742,4.012804299998848,15.373478192635861,14.76090327292812
91,2.0916760563852828,3.7283305004378917,15.118438731249784,15.827283322369654
92,2.087047604111518,4.370007080721088,16.180346629427866,14.993470365827957
93,2.210611543596966,4.947208133939897,15.683896699436051,15.64573732712487
94,2.422806235692017,4.63034723772457,15.862444275587013,14.194572640255876
95,2.085754607278996,4.706743008210716,16.060392315269382,15.277903299205251
96,2.380609466926213,4.628720608830808,15.725344249178196,16.067885296892587
